,County ,Recent Crime Count,Crime Rate(%)
0,Antrim,41012,6.9
1,Armagh,6386,6.6000000000000005
2,Bedfordshire,48647,7.199999999999999
3,Berkshire,62036,6.800000000000001
4,Bristol,49181,10.6
5,Buckinghamshire,51730,6.4
6,Cambridgeshire,61062,7.1
7,Cheshire,77694,7.3
8,Clwyd,40679,8.1
9,Cornwall,24467,4.3
10,Cumbria,33217,6.6000000000000005
11,Derbyshire,77636,7.3
12,Devon,61574,5.1
13,Dorset,46566,6.0
14,Down,15052,4.5
15,Durham,77040,8.9
16,Dyfed,23200,6.0
17,East Riding of Yorkshire,49763,8.3
18,East Sussex,57680,6.800000000000001
19,Essex,143679,7.8
20,Fermanagh,1252,5.8999999999999995
21,Gloucestershire,43368,4.7
22,Gwent,43162,7.3
23,Gwynedd,12166,6.3
24,Hampshire,129980,7.000000000000001
25,Herefordshire,9918,5.2
26,Hertfordshire,71218,6.0
27,Isle of Wight,9562,6.800000000000001
28,Kent,158500,8.5
29,Lancashire,109295,7.199999999999999
30,Leicestershire,75836,7.199999999999999
31,Lincolnshire,81979,7.5
32,London,782816,8.7
33,Londonderry,11231,6.5
34,Merseyside,126436,8.799999999999999
35,Mid Glamorgan,30811,6.9
36,Norfolk,63254,7.000000000000001
37,North Yorkshire,79956,6.9
38,Northamptonshire,62894,8.4
39,Northumberland,23126,7.199999999999999
40,Nottinghamshire,85283,7.3
41,Oxfordshire,40680,5.8999999999999995
42,Powys,6611,5.0
43,Rutland,1402,3.5000000000000004
44,Shropshire,28983,5.800000000000001
45,Somerset,56583,5.800000000000001
46,South Glamorgan,42229,8.4
47,South Yorkshire,126273,9.0
48,Staffordshire,33097,2.9000000000000004
49,Suffolk,50852,6.7
50,Surrey,60140,5.0
51,Tyne & Wear,104912,9.2
52,Tyrone,4583,5.7
53,Warwickshire,37911,6.6000000000000005
54,West Glamorgan,27486,7.000000000000001
55,West Midlands,266479,9.1
56,West Sussex,50546,5.8999999999999995
57,West Yorkshire,243047,10.4
58,Wiltshire,37654,5.2
59,Worcestershire,37125,6.2
